ColumnID,QuestionLabel,QuestionText,QuestionSource
StartDate,StartDate,Start Date,"{""ImportId"":""startDate""}"
EndDate,EndDate,End Date,"{""ImportId"":""endDate""}"
Progress,Progress,Progress,"{""ImportId"":""progress""}"
Duration_sec,Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
Finished,Finished,Finished,"{""ImportId"":""finished""}"
RecordedDate,RecordedDate,Recorded Date,"{""ImportId"":""recordedDate""}"
ResponseId,ResponseId,Response ID,"{""ImportId"":""_recordId""}"
lat,LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}"
long,LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}"
distn,DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
lang,UserLanguage,User Language,"{""ImportId"":""userLanguage""}"
USCit,Q1.3,Are you a United States Citizen?,"{""ImportId"":""QID250""}"
Adult18,Q1.2,Are you 18 years of age or older?,"{""ImportId"":""QID249""}"
SA_accuse,Q398,Have you ever been accused of sexual assault?,"{""ImportId"":""QID446""}"
SA_victim,Q397,Have you ever been a victim of sexual assault?,"{""ImportId"":""QID445""}"
LEO_you,Q399,Are you a law enforcement officer?,"{""ImportId"":""QID447""}"
LEO_family,Q192,Is a person close to you (a friend or a family member) a law enforcement officer?,"{""ImportId"":""QID610""}"
Felon,Q396,Have you ever been convicted of a felony?,"{""ImportId"":""QID444""}"
MTurkID,Q360,You qualify for this survey! Please enter your Mechanical Turk worker ID:,"{""ImportId"":""QID408_TEXT""}"
VictimStatementClick1,Q2.1_First Click,Timing - First Click,"{""ImportId"":""QID311_FIRST_CLICK""}"
VictimStatementClickLast,Q2.1_Last Click,Timing - Last Click,"{""ImportId"":""QID311_LAST_CLICK""}"
VictimStatementPgSub,Q2.1_Page Submit,Timing - Page Submit,"{""ImportId"":""QID311_PAGE_SUBMIT""}"
VictimStatementClickCnt,Q2.1_Click Count,Timing - Click Count,"{""ImportId"":""QID311_CLICK_COUNT""}"
VictimThinkKelly,Q2.3,Did Mrs. Wilson think Mr. Kelly was the attacker?,"{""ImportId"":""QID313""}"
TimeAttack,Q2.4,What time was Mrs. Wilson attacked?,"{""ImportId"":""QID314""}"
KellyStatementClick1,Q2.5_First Click,Timing - First Click,"{""ImportId"":""QID315_FIRST_CLICK""}"
KellyStatementClickLast,Q2.5_Last Click,Timing - Last Click,"{""ImportId"":""QID315_LAST_CLICK""}"
KellyStatementPgSub,Q2.5_Page Submit,Timing - Page Submit,"{""ImportId"":""QID315_PAGE_SUBMIT""}"
KellyStatementClickCnt,Q2.5_Click Count,Timing - Click Count,"{""ImportId"":""QID315_CLICK_COUNT""}"
KellyPunchOut,Q2.7,"According to his time card, what time did Mr. Kelly ""punch out"" of work?","{""ImportId"":""QID317""}"
KellyTimeDrive,Q2.8,How long would it have taken Mr. Kelly to drive home if he stayed within the legal speed limit?,"{""ImportId"":""QID318""}"
Reading3Click1,Q483_First Click,Timing - First Click,"{""ImportId"":""QID483_FIRST_CLICK""}"
Reading3ClickLast,Q483_Last Click,Timing - Last Click,"{""ImportId"":""QID483_LAST_CLICK""}"
Reading3PgSub,Q483_Page Submit,Timing - Page Submit,"{""ImportId"":""QID483_PAGE_SUBMIT""}"
Reading3ClickCnt,Q483_Click Count,Timing - Click Count,"{""ImportId"":""QID483_CLICK_COUNT""}"
Reading4Click1,Q549_First Click,Timing - First Click,"{""ImportId"":""QID549_FIRST_CLICK""}"
Reading4ClickLast,Q549_Last Click,Timing - Last Click,"{""ImportId"":""QID549_LAST_CLICK""}"
Reading4PgSub,Q549_Page Submit,Timing - Page Submit,"{""ImportId"":""QID549_PAGE_SUBMIT""}"
Reading4ClickCnt,Q549_Click Count,Timing - Click Count,"{""ImportId"":""QID549_CLICK_COUNT""}"
Reading5Click1,Q524_First Click,Timing - First Click,"{""ImportId"":""QID524_FIRST_CLICK""}"
Reading5ClickLast,Q524_Last Click,Timing - Last Click,"{""ImportId"":""QID524_LAST_CLICK""}"
Reading5PgSub,Q524_Page Submit,Timing - Page Submit,"{""ImportId"":""QID524_PAGE_SUBMIT""}"
Reading5ClickCnt,Q524_Click Count,Timing - Click Count,"{""ImportId"":""QID524_CLICK_COUNT""}"
Reading6Click1,Q466_First Click,Timing - First Click,"{""ImportId"":""QID466_FIRST_CLICK""}"
Reading6ClickLast,Q466_Last Click,Timing - Last Click,"{""ImportId"":""QID466_LAST_CLICK""}"
Reading6PgSub,Q466_Page Submit,Timing - Page Submit,"{""ImportId"":""QID466_PAGE_SUBMIT""}"
Reading6ClickCnt,Q466_Click Count,Timing - Click Count,"{""ImportId"":""QID466_CLICK_COUNT""}"
Reading7Click1,Q492_First Click,Timing - First Click,"{""ImportId"":""QID492_FIRST_CLICK""}"
Reading7ClickLast,Q492_Last Click,Timing - Last Click,"{""ImportId"":""QID492_LAST_CLICK""}"
Reading7PgSub,Q492_Page Submit,Timing - Page Submit,"{""ImportId"":""QID492_PAGE_SUBMIT""}"
Reading7ClickCnt,Q492_Click Count,Timing - Click Count,"{""ImportId"":""QID492_CLICK_COUNT""}"
InitialVerdict,Q495,"Suppose that you were a juror in this case and the judge instructed you to find Mr. Kelly guilty only if the evidence convinced
you ñbeyond a reasonable doubtî that he committed the rape.æ What verdict do you think you would
return?","{""ImportId"":""QID495""}"
InitialChances,Q497,What do you think are the chances that Brian Kelly was the man who raped Mrs. Wilson? æ Choose the option that is closest to your best estimate.,"{""ImportId"":""QID497""}"
InitialHighChances,Q197,The highest reasonable estimate of the chances Kelly is guilty would be:,"{""ImportId"":""QID615""}"
InitialLowChances,Q198,The lowest reasonable estimate of the chances Kelly is guilty would be:,"{""ImportId"":""QID616""}"
NewEvidClick1_Shoe_Mod,Q3.6_First Click,Timing - First Click,"{""ImportId"":""QID228_FIRST_CLICK""}"
NewEvidClickLast_Shoe_Mod,Q3.6_Last Click,Timing - Last Click,"{""ImportId"":""QID228_LAST_CLICK""}"
NewEvidPgSub_Shoe_Mod,Q3.6_Page Submit,Timing - Page Submit,"{""ImportId"":""QID228_PAGE_SUBMIT""}"
NewEvidClickCnt_Shoe_Mod,Q3.6_Click Count,Timing - Click Count,"{""ImportId"":""QID228_CLICK_COUNT""}"
RMP_Shoe_Mod,Q392,"According to the analyst, what are the chances that a randomly chosen shoe would make a print consistent with the shoeprint found on the bathroom floor?","{""ImportId"":""QID440""}"
CrossExamFEClick1,Q3.9_First Click,Timing - First Click,"{""ImportId"":""QID229_FIRST_CLICK""}"
CrossExamFEClickLast,Q3.9_Last Click,Timing - Last Click,"{""ImportId"":""QID229_LAST_CLICK""}"
CrossExamFEPgSub,Q3.9_Page Submit,Timing - Page Submit,"{""ImportId"":""QID229_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q3.9_Click Count,Timing - Click Count,"{""ImportId"":""QID229_CLICK_COUNT""}"
FactorsAnalyst_Shoe_Mod,Q3.11,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID43""}"
NewEvidClick1_Shoe_Strong,Q450_First Click,Timing - First Click,"{""ImportId"":""QID450_FIRST_CLICK""}"
NewEvidClickLast_Shoe_Strong,Q450_Last Click,Timing - Last Click,"{""ImportId"":""QID450_LAST_CLICK""}"
NewEvidPgSub_Shoe_Strong,Q450_Page Submit,Timing - Page Submit,"{""ImportId"":""QID450_PAGE_SUBMIT""}"
NewEvidClickCnt_Shoe_Strong,Q450_Click Count,Timing - Click Count,"{""ImportId"":""QID450_CLICK_COUNT""}"
RMP_Shoe_Strong,Q452,"According to the forensic analyst, what are the chances that a randomly chosen shoe would make a print consistent with the shoe print found on the bathroom floor?","{""ImportId"":""QID452""}"
CrossExamFEClick1,Q453_First Click,Timing - First Click,"{""ImportId"":""QID453_FIRST_CLICK""}"
CrossExamFEClickLast,Q453_Last Click,Timing - Last Click,"{""ImportId"":""QID453_LAST_CLICK""}"
CrossExamFEPgSub,Q453_Page Submit,Timing - Page Submit,"{""ImportId"":""QID453_PAGE_SUBMIT""}"
CrossExamFEClickCnt,Q453_Click Count,Timing - Click Count,"{""ImportId"":""QID453_CLICK_COUNT""}"
FactorsAnalyst_Shoe_Strong,Q455,What factors did the analyst take into account when he estimated the strength of his findings for linking Mr. Kelly to the crime?,"{""ImportId"":""QID455""}"
