StartDate,EndDate,Progress,Duration_sec,Finished,RecordedDate,ResponseId,lat,long,distn,lang,USCit,Adult18,SA_accuse,SA_victim,LEO_you,LEO_family,Felon,MTurkID,VictimThinkKelly,TimeAttack,KellyPunchOut,KellyTimeDrive,InitialVerdict,InitialChances,InitialHighChances,InitialLowChances,SecondaryVerdict,SecondaryChances,SecondaryHighChances,SecondaryLowChances,UnderstoodEvidence,RMPEstimate,FrameEstimate,ErrorEstimate,Age,Gender,Educ,Income,MathStat,ConclusionsData,AbilityEvidence,NativeEnglish,CrimeVictim,Juror,SupportDP,KnowSciMeth,KnowForSci,PoliticalSpectrum,PoliticalParty,PoliticalParty2,ConfirmSubmit,mTurkCode,TreatmentGroup,EvidenceType,Strength,DefenseFallacy,FactorsAnalyst,Greater50Kelly,Implicates,KellyCouldveLeftEvid,KellyMoreLikely,NotOnlyKelly,ProsecuteFallacy,RMP,RMPTimesKelly,AgeGroup,CensusEdCat,IncomeFctr
7/20/17 14:43,7/20/17 14:53,100,631,TRUE,7/20/17 14:53,R_ePvV2O1m2aGVhAZ,40.92070007,-73.89099884,anonymous,EN,Yes,Yes,No,No,No,No,No,A3F7FH2NDBBN1M,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 99 chances in 100 that he is guilty,About 99 chances in 100 that he is guilty,"About 99,999 chances in 100,000 that he is guilty",Not Guilty,About 99 chances in 100 that he is guilty,"About 1 chance in 1,000 that he is guilty",About 1 chance in 100 that he is guilty,"
	I understood completely
	7
",1 chance in 100,"1 chance in 1,000",1 chance in 100,29,Female,Graduated from a four year college or university,"$40-$60,000",A college course in statistics,&nbsp;,Moderately Confident,Yes,No,No,No,&nbsp;,&nbsp;,Moderate,None,NA,NA,86749,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",Bachelor's degree,"$40,000 to $100,000"
7/20/17 14:43,7/20/17 14:58,100,893,TRUE,7/20/17 14:58,R_1mOQsyQemxOrUXH,39.90040588,-104.9428024,anonymous,EN,Yes,Yes,No,No,No,No,No,A3EYWJCIO1MG9W,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 1,000 that he is guilty",About 99 chances in 100 that he is guilty,"About 1 chance in 100,000 that he is guilty",Not Guilty,About 1 chance in 100 that he is guilty,"About 9,999 chances in 10,000 that he is guilty","About 1 chance in 1,000 that he is guilty",5,1 chance in 100,1 chance in 1 million,"1 chance in 1,000",29,Male,Some college courses,"$40-$60,000",High school courses,&nbsp;,&nbsp;,Yes,No,No,No,&nbsp;,&nbsp;,&nbsp;,Democrat,NA,NA,12884,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(24,34]",Some college or associate degree,"$40,000 to $100,000"
7/20/17 14:57,7/20/17 15:08,100,652,TRUE,7/20/17 15:08,R_238cOmLmKSLttPc,36.03779602,-78.9858017,anonymous,EN,Yes,Yes,No,No,No,No,No,A2B8HPIZDKYKDR,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 1 million that he is guilty,One chance in 2 that he is guilty,Impossible that he is guilty,Not Guilty,About 1 chance in 1 million that he is guilty,One chance in 2 that he is guilty,About 1 chance in 10 million that he is guilty,"
	I understood completely
	7
",1 chance in 10,1 chance in 100,1 chance in 100,44,Male,Graduated from a four year college or university,"$100-$120,000","High school courses,A college course in statistics,A college course in logic or inference",&nbsp;,&nbsp;,Yes,No,No,Yes,&nbsp;,&nbsp;,&nbsp;,Republican,NA,NA,94161,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(34,44]",Bachelor's degree,"Over $100,000"
7/20/17 14:49,7/20/17 15:11,100,1271,TRUE,7/20/17 15:11,R_Avd0NBAbjz8clB7,33.39720154,-86.84079742,anonymous,EN,Yes,Yes,No,No,No,No,No,A3SHP9IPZ2FLOX,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 10,000 that he is guilty","About 999,999 chances in 1 million that he is guilty",About 1 chance in 1 million that he is guilty,Not Guilty,"About 1 chance in 10,000 that he is guilty","About 999,999 chances in 1 million that he is guilty",About 1 chance in 1 million that he is guilty,"
	I understood completely
	7
",1 chance in 100,"1 chance in 10,000",1 chance in 100,41,Male,Some college courses,"More than $120,000",A college course in statistics,&nbsp;,&nbsp;,Yes,No,Yes,No,&nbsp;,Somewhat knowledgeable,&nbsp;,Republican,NA,NA,65075,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence supports this statement.,"(34,44]",Some college or associate degree,"Over $100,000"
7/20/17 14:52,7/20/17 15:11,100,1098,TRUE,7/20/17 15:11,R_2ZQ9TzdyAaQejXx,32.77870178,-96.82170105,anonymous,EN,Yes,Yes,No,No,No,No,No,AR3I3KJIGB4U6,No,00:30:00,00:15:00,30 minutes,Not Guilty,Impossible that he is guilty,Impossible that he is guilty,About 1 chance in 1 million that he is guilty,Not Guilty,About 1 chance in 10 million that he is guilty,Impossible that he is guilty,Impossible that he is guilty,6,1 chance in 1 million,1 chance in 10 million,1 chance in 10 million,52,Female,Received a masters degree,"$20-$40,000",A college course in statistics,Moderately Confident,&nbsp;,Yes,No,No,No,&nbsp;,&nbsp;,&nbsp;,Democrat,NA,NA,93210,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(44,54]",Advanced degree,"$20,000 to $40,000"
7/20/17 14:54,7/20/17 15:13,100,1135,TRUE,7/20/17 15:13,R_3LYfsl3Bdt9GOfX,32.57989502,-84.83329773,anonymous,EN,Yes,Yes,No,No,No,No,No,A2C6KUVF0FAIY8,No,00:30:00,00:15:00,30 minutes,Not Guilty,One chance in 2 that he is guilty,One chance in 2 that he is guilty,One chance in 2 that he is guilty,Not Guilty,One chance in 2 that he is guilty,One chance in 2 that he is guilty,One chance in 2 that he is guilty,5,1 chance in 100,"1 chance in 1,000",1 chance in 100,35,Male,Technical or vocational training,"Less than $20,000",High school courses,Moderately Confident,Moderately Confident,Yes,No,No,Yes,Somewhat knowledgeable,Somewhat knowledgeable,Moderate,None,NA,NA,92903,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence supports this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(34,44]",Some college or associate degree,"Under $20,000"
7/20/17 15:03,7/20/17 15:15,100,722,TRUE,7/20/17 15:15,R_zYaM6Y1BL2O9KIp,41.91529846,-88.12870026,anonymous,EN,Yes,Yes,No,No,No,No,No,A2TYLR23CHRULH,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 1,000 that he is guilty",About 1 chance in 1 million that he is guilty,"About 1 chance in 1,000 that he is guilty",Not Guilty,"About 1 chance in 1,000 that he is guilty",About 1 chance in 100 that he is guilty,"About 1 chance in 100,000 that he is guilty","
	I understood completely
	7
",1 chance in 1 million,1 chance in 10 million,"1 chance in 10,000",39,Male,Some college courses,"$20-$40,000",High school courses,&nbsp;,&nbsp;,Yes,Yes,No,Yes,&nbsp;,Somewhat knowledgeable,Moderate,None,NA,NA,15987,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(34,44]",Some college or associate degree,"$20,000 to $40,000"
7/20/17 15:01,7/20/17 15:16,100,865,TRUE,7/20/17 15:16,R_2uWkOH0n6AkgIcZ,37.39100647,-81.04170227,anonymous,EN,Yes,Yes,No,No,No,No,No,A1UDB1L9AID4AF,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 1 chance in 100 that he is guilty,About 1 chance in 10 that he is guilty,Impossible that he is guilty,Not Guilty,About 1 chance in 100 that he is guilty,About 1 chance in 10 that he is guilty,Impossible that he is guilty,6,1 chance in 10,"1 chance in 10,000",1 chance in 100,40,Female,Graduated from a four year college or university,"$40-$60,000","High school courses,A college course in statistics,A college course in calculus",Moderately Confident,&nbsp;,Yes,No,Yes,Yes,&nbsp;,Somewhat knowledgeable,&nbsp;,Democrat,NA,NA,92949,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(34,44]",Bachelor's degree,"$40,000 to $100,000"
7/20/17 14:46,7/20/17 15:19,100,1992,TRUE,7/20/17 15:19,R_2qej5oCYLiJDM6s,39.64559937,-79.94329834,anonymous,EN,Yes,Yes,No,No,No,No,No,A1ZZ7YO3YASNIP,No,00:30:00,00:15:00,30 minutes,Not Guilty,"About 1 chance in 1,000 that he is guilty","About 1 chance in 1,000 that he is guilty",About 1 chance in 100 that he is guilty,Not Guilty,About 1 chance in 100 that he is guilty,About 1 chance in 100 that he is guilty,About 1 chance in 10 that he is guilty,"
	I understood completely
	7
",1 chance in 1 million,1 chance in 10 million,"1 chance in 100,000",25,Female,Graduated from a four year college or university,"$40-$60,000","High school courses,A college course in statistics,A college course in calculus",&nbsp;,&nbsp;,Yes,No,No,No,&nbsp;,Somewhat knowledgeable,Very Liberal,Democrat,NA,NA,71443,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,1 in 100,The shoeprint evidence does not support this statement.,"(24,34]",Bachelor's degree,"$40,000 to $100,000"
7/20/17 15:08,7/20/17 15:19,100,635,TRUE,7/20/17 15:19,R_2UXgHo62eavWFVq,41.0348053,-74.04389954,anonymous,EN,Yes,Yes,No,No,No,No,No,A1GPZ5REMDQZ0L,No,00:30:00,00:15:00,30 minutes,Not Guilty,About 9 chances in 10 that he is guilty,Certain to be guilty,Impossible that he is guilty,Not Guilty,"About 9,999,999 chances in 10 million that he is guilty",Certain to be guilty,Impossible that he is guilty,"
	I understood completely
	7
","1 chance in 10,000","1 chance in 100,000",1 chance in 10 million,30,Male,Graduated from a four year college or university,"$40-$60,000","High school courses,A college course in statistics,A college course in calculus",Moderately Confident,Moderately Confident,Yes,No,No,No,&nbsp;,&nbsp;,Moderate,None,NA,NA,30804,"A: moderate, shoe",Shoe,Mod,The shoeprint evidence does not support this statement.,the chances of two different shoes making prints that are consistent,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence supports this statement.,The shoeprint evidence does not support this statement.,The shoeprint evidence does not support this statement.,1 in 100,The shoeprint evidence supports this statement.,"(24,34]",Bachelor's degree,"$40,000 to $100,000"
